,,tf_Pval,tf_Pval,tf_Pval,tf_Coef,tf_Coef,tf_Coef
,,Replication,TCGA,Same??,Replication,TCGA,Same??
1,10365,0.06334763982219348,0.00345781284251,False,0.20991184545412697,0.325147954335,False
1,57862,2.6514305481907006e-06,0.000418631737941,True,0.5004113291153803,-0.387485847142,False
1,7707,0.919145065100235,0.0048441636472,False,-0.011605445640146829,-0.313911178518,False
1,1316,0.0001150012061803173,0.00406847007903,True,0.420315958409663,-0.319779675229,False
1,51274,0.7052055502790815,0.000848255386405,False,-0.04323157706022772,-0.367991695344,False
1,4086,0.5642506073373077,0.00292985765705,False,-0.06584481604176327,0.330521036241,False
1,1958,0.07709034358253763,0.000843509596618,False,0.20006846069464126,0.368151432471,False
1,4087,0.0003756774981442134,1.28500438285e-05,True,0.3903706777873857,-0.469284713496,False
1,201501,0.12787652255159812,0.00302844481878,False,0.17276077774613982,-0.329455306875,False
1,255877,0.5056191186819738,4.60860025352e-05,False,0.07599715778583231,0.441665645237,False
2,NA,,,False,,,False
3,3659,0.8993261661618082,5.34296560171e-14,False,0.01446357753563651,0.72295964288,False
4,1958,0.4383980493407573,0.00443658452167,False,-0.08842160540028887,0.316881108189,False
4,4090,0.0017644193747970126,0.000166547670884,True,0.34640405551342995,-0.411246793712,False
5,NA,,,False,,,False
6,6667,0.8900328223761137,0.0024130824274,False,-0.015806744854771605,0.336696008269,False
7,7707,0.9816852799746205,7.26568570524e-05,False,0.0026245947853359825,0.431215002019,False
7,1316,0.04647922421537363,0.00233520735117,False,-0.22471470302975613,0.337727697226,False
7,7593,0.28653329128538085,0.000318588686665,False,-0.12139792448919046,0.394713088934,False
7,4090,0.00265045736188981,5.24399106416e-06,True,0.333725829716219,0.487333063622,False
7,28999,0.22004603176373022,4.61285683398e-05,False,0.13952928964918937,0.441644793592,False
7,6668,0.016653214307857985,0.00626077491679,False,0.2686861525874029,0.305070430033,False
7,51043,0.06507934989299978,0.00533630600842,False,0.2085818571637534,0.310607204635,False
7,687,0.0002414141227469387,5.61054448501e-07,True,0.40188927400661584,0.52831390219,False
7,4520,0.9944026297456605,0.00213660432976,False,0.0008020697018503053,0.340505747806,False
7,84330,0.03484084095622073,0.00199891840885,False,-0.23778975857194862,0.342571370206,False
8,4089,0.0006978641751858761,0.00138964039083,True,0.37350080638465344,-0.353608060871,False
8,51222,0.08931745445898676,1.39519484444e-07,False,-0.19242968559944826,0.551357039412,False
8,7003,0.04980221471662927,3.03903122113e-06,False,0.22148476788534868,-0.497837674301,False
8,6667,0.031899619005597936,0.00280074986238,False,-0.24166774374277275,-0.331966298778,False
8,7716,0.6223191314773275,0.000687135362989,False,0.05627100051461162,-0.373934050804,False
8,6668,0.09959256574987266,0.0019836312812,False,0.18662601257208375,-0.342808548224,False
8,1958,0.10430084159773477,0.00043530336998,False,0.18412243305978046,-0.386438747694,False
8,84330,0.2249755986154372,0.00134204222672,False,-0.13806429250926747,0.354645715233,False
8,6670,0.0004827650409839057,1.68493453487e-05,True,0.38364703687397456,-0.463620995106,False
8,7764,1.923446255058184e-05,0.00149320748332,True,-0.46081681113268386,-0.351456933669,False
9,4150,0.0031219277454081567,0.00133357800174,True,-0.3284730309461927,0.354833714574,False
9,4089,0.0007776925161408725,0.00113159955083,True,0.3704553594581562,-0.359674418194,False
9,4087,0.00033914686534287144,0.00417115644187,True,0.3930726833738332,-0.318948395511,False
9,283337,0.03117866934519027,0.000373376756711,False,0.24266397145683474,-0.390533587577,False
9,1316,0.0001063335939419245,0.000615617733093,True,0.42220236239565034,-0.376990370277,False
9,7707,0.005982770389926555,0.00519101377981,True,0.30665493265552557,-0.311553523336,False
9,7003,0.001793886233989707,0.00249962469825,True,0.3458980745700195,-0.335583970558,False
9,51274,7.689181406932721e-06,1.32917625628e-05,True,0.4797505611566913,-0.468583736469,False
9,118472,3.685008931841091e-08,3.1631560695e-05,True,-0.5718899035449241,0.450055013517,False
9,4086,0.10621158548294615,0.00259339065111,False,0.18313150159723296,-0.334417424083,False
9,7071,5.595715367298471e-05,0.000288020918501,True,0.4372519845598532,-0.397341400659,False
9,9658,0.004034345013042017,0.00144304266407,True,0.3200600637443013,-0.352481445152,False
9,51157,1.0611522278086491e-06,1.64082842204e-06,True,-0.5171623046385624,0.509300680103,False
9,8462,0.000385039577901184,0.000834542212052,True,0.38971706260548805,-0.368455506528,False
9,6668,6.207518475430287e-10,1.07871178865e-10,True,0.6272326568583129,-0.648006664798,False
9,51621,0.005188033598094004,0.000622905953083,False,0.3115731782100128,-0.376664495841,False
9,6670,9.990079840103509e-05,0.00021953304695,True,0.4236966894953826,-0.404310491188,False
10,NA,,,False,,,False
11,NA,,,False,,,False
12,NA,,,False,,,False
13,NA,,,False,,,False
14,NA,,,False,,,False
15,NA,,,False,,,False
16,NA,,,False,,,False
17,NA,,,,,,
18,NA,,,False,,,False
19,NA,,,False,,,False
20,NA,,,,,,
21,NA,,,False,,,False
22,NA,,,False,,,False
23,NA,,,False,,,False
24,NA,,,False,,,False
25,NA,,,False,,,False
26,NA,,,False,,,False
27,NA,,,,,,
28,NA,,,False,,,False
29,NA,,,False,,,False
30,NA,,,False,,,False
31,NA,,,False,,,False
32,NA,,,False,,,False
33,NA,,,False,,,False
34,NA,,,False,,,False
35,NA,,,False,,,False
36,NA,,,False,,,False
37,NA,,,False,,,False
38,NA,,,False,,,False
39,NA,,,False,,,False
40,NA,,,,,,
41,NA,,,False,,,False
42,NA,,,,,,
43,NA,,,False,,,False
44,NA,,,,,,
45,NA,,,False,,,False
46,NA,,,False,,,False
47,NA,,,,,,
48,NA,,,False,,,False
49,NA,,,False,,,False
50,NA,,,False,,,False
51,NA,,,,,,
52,NA,,,,,,
53,NA,,,,,,
54,NA,,,False,,,False
55,NA,,,False,,,False
56,NA,,,False,,,False
57,NA,,,False,,,False
58,NA,,,,,,
59,NA,,,False,,,False
60,NA,,,False,,,False
61,NA,,,,,,
62,NA,,,False,,,False
63,NA,,,False,,,False
64,NA,,,,,,
65,NA,,,,,,
66,NA,,,False,,,False
67,NA,,,False,,,False
68,NA,,,False,,,False
69,NA,,,False,,,False
70,NA,,,False,,,False
71,NA,,,False,,,False
72,NA,,,,,,
73,NA,,,False,,,False
74,NA,,,False,,,False
75,NA,,,False,,,False
76,NA,,,False,,,False
77,NA,,,False,,,False
78,NA,,,False,,,False
79,NA,,,False,,,False
80,NA,,,False,,,False
81,NA,,,False,,,False
82,NA,,,False,,,False
83,NA,,,False,,,False
84,NA,,,False,,,False
85,NA,,,False,,,False
86,NA,,,False,,,False
87,NA,,,False,,,False
88,NA,,,False,,,False
89,NA,,,False,,,False
90,NA,,,False,,,False
91,NA,,,False,,,False
92,NA,,,False,,,False
93,NA,,,False,,,False
94,NA,,,False,,,False
95,NA,,,False,,,False
96,NA,,,False,,,False
97,NA,,,False,,,False
98,NA,,,False,,,False
99,NA,,,False,,,False
100,NA,,,False,,,False
101,NA,,,False,,,False
102,NA,,,False,,,False
103,NA,,,False,,,False
104,NA,,,False,,,False
105,NA,,,False,,,False
106,NA,,,False,,,False
107,NA,,,False,,,False
108,NA,,,False,,,False
109,NA,,,False,,,False
110,NA,,,,,,
111,NA,,,False,,,False
112,NA,,,False,,,False
113,NA,,,False,,,False
114,NA,,,,,,
115,NA,,,False,,,False
116,NA,,,False,,,False
117,NA,,,False,,,False
118,NA,,,False,,,False
119,NA,,,False,,,False
120,NA,,,False,,,False
121,NA,,,False,,,False
122,NA,,,False,,,False
123,NA,,,,,,
124,NA,,,,,,
125,NA,,,False,,,False
126,NA,,,False,,,False
127,NA,,,False,,,False
128,NA,,,False,,,False
129,NA,,,False,,,False
130,NA,,,False,,,False
131,NA,,,False,,,False
132,NA,,,False,,,False
133,NA,,,False,,,False
134,NA,,,False,,,False
135,NA,,,False,,,False
136,NA,,,False,,,False
137,NA,,,,,,
138,NA,,,,,,
139,NA,,,,,,
140,NA,,,False,,,False
141,NA,,,False,,,False
142,NA,,,False,,,False
143,NA,,,False,,,False
144,NA,,,False,,,False
145,NA,,,False,,,False
146,NA,,,False,,,False
147,NA,,,False,,,False
148,NA,,,False,,,False
149,NA,,,False,,,False
150,NA,,,False,,,False
151,NA,,,,,,
152,NA,,,False,,,False
153,NA,,,False,,,False
154,NA,,,False,,,False
155,NA,,,False,,,False
156,NA,,,False,,,False
157,NA,,,False,,,False
158,NA,,,False,,,False
159,NA,,,False,,,False
160,NA,,,False,,,False
161,NA,,,False,,,False
162,NA,,,False,,,False
163,NA,,,False,,,False
164,NA,,,False,,,False
165,NA,,,False,,,False
166,NA,,,False,,,False
167,NA,,,False,,,False
168,NA,,,False,,,False
169,NA,,,False,,,False
170,NA,,,False,,,False
171,NA,,,,,,
172,NA,,,False,,,False
173,NA,,,False,,,False
174,NA,,,False,,,False
