,pc1_var_exp,pc1_var_exp,pc1_var_exp,pc1_perm_p,pc1_perm_p,pc1_perm_p,os_survival,os_survival,os_survival,os_survival_p,os_survival_p,os_survival_p,os_survival_age,os_survival_age,os_survival_age,os_survival_age_p,os_survival_age_p,os_survival_age_p,os_survival_age_sex,os_survival_age_sex,os_survival_age_sex,os_survival_age_sex_p,os_survival_age_sex_p,os_survival_age_sex_p
,Replication,TCGA,Same??,Replication,TCGA,Same??,Replication,TCGA,Same??,Replication,TCGA,Same??,Replication,TCGA,Same??,Replication,TCGA,Same??,Replication,TCGA,Same??,Replication,TCGA,Same??
1,0.1712551172614239,0.193315336741067,False,0.087,0.003,False,5.538352220733276,-2.3256060616900003,False,3.053307274391171e-08,0.020039575911599997,False,5.664057002438924,-2.2550546776400004,False,1.4783526033189196e-08,0.024129896967000002,False,5.745947079516503,-2.2578902354,False,9.140789423047639e-09,0.023952503546000002,False
2,,1.0,False,,,False,,-1.13441657271,False,,0.256619850589,False,,-1.3374769095999999,False,,0.181067014482,False,,-1.34333795542,False,,0.17916256724800003,False
3,0.15133465994819062,0.5649649497105029,False,0.539,0.0,False,4.226443157332796,-0.7338180954699999,False,2.374142095957401e-05,0.463059610417,False,4.570533525465341,-0.770922083461,False,4.8648408411434855e-06,0.44075311665600003,False,4.8639156206122856,-0.766883615018,False,1.1508599112495092e-06,0.44315071631700004,False
4,0.18737544325563754,0.270002599199017,False,0.126,0.0,False,-2.097341909274816,2.17527263929,False,0.03596331944602105,0.0296096915965,False,-2.075171729700087,2.42754613482,False,0.037970621718605935,0.0152013533265,False,-2.0707221650336565,2.4288749629599997,False,0.038384767643199466,0.0151457546992,False
5,0.13114025921227926,0.498948912079141,False,0.521,0.0,False,2.901819765415945,3.1898676262800003,False,0.003710019252030692,0.0014233797479899998,True,2.7587245545920593,3.40525276717,False,0.0058027422515881215,0.0006610283802929999,False,2.803393522041088,3.5046914352199994,False,0.005056792669907123,0.000457136778408,False
6,0.11392938217205024,0.31952753385243,False,0.982,0.0,False,2.47227801049855,-0.210776350328,False,0.013425506543652809,0.8330617936679999,False,2.6880060445025524,-0.41882380108499995,False,0.007188009548798422,0.6753449088860001,False,2.797180421138504,-0.407275857948,False,0.005155073744393425,0.683805392153,False
7,0.11614342014590412,0.338570548451077,False,0.882,0.0,False,-4.406927495952191,0.6363436439519999,False,1.0484726446807656e-05,0.524552464273,False,-4.511479326834356,0.476061810156,False,6.437705862997383e-06,0.634030343394,False,-4.520932455210176,0.468725076044,False,6.156783222642709e-06,0.6392661605259999,False
8,0.12021377192258273,0.22345402439566697,False,0.818,0.0,False,4.303269211527153,-1.93096635051,False,1.6829614671408645e-05,0.053487213845499995,False,4.606777828137452,-1.8517046528499999,False,4.089565386378272e-06,0.0640682455237,False,4.632691355014728,-1.85062603185,False,3.6094245172220633e-06,0.0642233720145,False
9,0.1541690353423053,0.5800435419660219,False,0.344,0.0,False,-0.08795101650342839,-0.37074946020599997,False,0.9299156083656877,0.710824147589,False,-0.18250782129326126,-0.398542165344,False,0.8551842169363698,0.690230583477,False,-0.199830079831791,-0.387237450647,False,0.8416134754599589,0.6985804271130001,False
10,,1.0,False,,,False,,-2.06810302647,False,,0.038630336182800006,False,,-2.32488858037,False,,0.0200779187628,False,,-2.32609911212,False,,0.0200132639134,False
11,,0.444516083819739,False,,0.0,False,,5.26696128786,False,,1.3870044091e-07,False,,5.1711019037599995,False,,2.32717608628e-07,False,,5.000561708219999,False,,5.71635281887e-07,False
12,,0.32020061984063697,False,,0.0,False,,-3.46582311444,False,,0.000528610929384,False,,-3.7012418929300006,False,,0.0002145468243,False,,-3.6882284667800005,False,,0.000225820842151,False
13,,0.377583069681971,False,,0.0,False,,2.0640452911500002,False,,0.039013422359300005,False,,2.1470404141,False,,0.0317900643249,False,,2.18550303004,False,,0.0288519840275,False
14,,0.457741505779492,False,,0.0,False,,1.7947457828,False,,0.0726942125479,False,,1.7269068187799999,False,,0.0841843996253,False,,1.7668901785,False,,0.0772466221727,False
15,,0.33653373025893607,False,,0.0,False,,3.80523072951,False,,0.000141672064382,False,,4.1259113980599995,False,,3.69269425144e-05,False,,4.20101682156,False,,2.65718844836e-05,False
16,,0.274594389367025,False,,0.0,False,,-1.08060281978,False,,0.279873827693,False,,-1.07790786275,False,,0.281074876174,False,,-1.08216892811,False,,0.279177472395,False
17,,0.416447059830115,False,,0.0,False,,-1.14881100091,False,,0.250633922188,False,,-1.2821902326799999,False,,0.199775921695,False,,-1.29195271585,False,,0.19637352002500003,False
18,,0.22791853598304201,False,,0.0,False,,0.094766897757,False,,0.9244999802680001,False,,0.036702239035,False,,0.970722423356,False,,0.045333578965300006,False,,0.963841422798,False
19,,0.319827581302917,False,,0.0,False,,3.2863205202599994,False,,0.00101505437259,False,,3.55990867065,False,,0.00037098379210400004,False,,3.55493520124,False,,0.000378072252667,False
20,,0.237645061375557,False,,0.0,False,,1.65313003929,False,,0.098304400944,False,,1.5721876091,False,,0.115907048224,False,,1.5972171087600002,False,,0.110217320319,False
21,,0.261568752953539,False,,0.0,False,,-2.70697017001,False,,0.00679003582059,False,,-2.66769236058,False,,0.007637415494100001,False,,-2.64565902928,False,,0.00815319530458,False
22,,0.218915188331661,False,,0.0,False,,-0.0200753477279,False,,0.983983265845,False,,-0.035622340889300004,False,,0.971583494172,False,,0.00783215124291,False,,0.9937509113349999,False
